id,COF-366-Co,MOCOF-1,unknown
KE-008,0.0,0.0,1.0
KE-009,0.0,0.0,1.0
KE-010,0.0,0.0,1.0
KE-011,0.0,0.0,1.0
KE-014,0.36,0.08,0.56
KE-015,0.0,0.0,1.0
KE-016,0.0,0.0,1.0
KE-017,0.0,0.0,1.0
KE-019,0.16,0.02,0.82
KE-020,0.2,0.03,0.77
KE-021,0.29,0.05,0.66
KE-022,0.02,0.0,0.98
KE-033,0.2,0.14,0.66
KE-034,0.72,0.15,0.13
KE-035,0.41,0.09,0.5
KE-036,0.0,0.0,1.0
KE-040,0.26,0.07,0.67
KE-041,0.08,0.01,0.91
KE-042,0.04,0.02,0.95
KE-044,0.66,0.16,0.18
KE-045,0.63,0.11,0.26
KE-046,0.66,0.2,0.14
KE-047,,,
KE-048,0.73,0.23,0.04
KE-049,0.6,0.03,0.37
KE-050,0.14,0.49,0.37
KE-051,0.03,0.04,0.93
KE-052,0.05,0.14,0.81
KE-053,0.18,0.51,0.3
KE-059,0.15,0.42,0.43
KE-060,0.12,0.37,0.51
KE-061,0.09,0.26,0.65
KE-062,,,
KE-063,0.13,0.44,0.43
KE-064,0.0,0.09,0.91
KE-065,0.37,0.0,0.63
KE-067,0.51,0.12,0.37
KE-068,0.64,0.1,0.26
KE-069,0.53,0.11,0.36
KE-070,0.6,0.06,0.33
KE-073,0.12,0.4,0.48
KE-075,0.33,0.36,0.31
KE-076,0.82,0.19,0.0
KE-081,0.07,0.29,0.65
KE-082,0.0,0.54,0.46
KE-083,0.81,0.01,0.17
KE-084,0.66,0.02,0.32
KE-085,0.07,0.32,0.61
KE-086,0.28,0.26,0.46
KE-089,0.07,0.03,0.9
KE-090,0.06,0.01,0.92
KE-091,0.24,0.0,0.76
KE-092,0.54,0.06,0.39
KE-097,0.01,0.0,0.99
KE-098,0.55,0.04,0.41
KE-099,0.0,0.0,1.0
KE-104,0.0,0.0,0.99
KE-105,0.04,0.18,0.78
KE-106,0.4,0.03,0.57
KE-107,0.58,0.03,0.39
KE-108,0.0,0.0,1.0
KE-109,0.0,0.0,1.0
KE-111,0.0,0.0,1.0
KE-112,0.01,0.0,0.99
KE-113,,,
KE-114,0.69,0.03,0.28
KE-115,0.81,0.0,0.19
KE-119,0.02,0.11,0.87
KE-120,0.01,0.03,0.97
KE-121,0.01,0.04,0.95
KE-125,0.64,0.03,0.33
KE-126,0.57,0.03,0.4
