id,Co(tapp)_precursor,TPA_substitution,Acid_pKa,Additive,Solvent2,solvent_1_name,Vessel,Degas,Temp_degC,TPA_eq,H2O_per_TPA,TAPP_conc_mM,Acid_conc_M,Solvent2_fraction,m-DNB,main_product
KE-008,Co(tapp),(OMe)2,12.6,none,o-DCB,nBuOH,microwave vial,False,120.0,3.2712160979877516,121.70366408130516,12.0,0.7,0.5,False,Co(tapp)nXm
KE-010,Co(tapp),(OMe)2,12.6,none,o-DCB,nBuOH,microwave vial,False,120.0,2.0208333333333335,195.46821305841922,12.0,0.7,0.5,False,Co(tapp)nXm
KE-015,Co(tapp),(OMe)2,12.6,none,o-DCB,nBuOH,microwave vial,False,120.0,2.970381917381138,119.4043558121228,12.0,0.7,0.5,False,Co(tapp)nXm
KE-016,Co(tapp),(OMe)2,12.6,none,o-DCB,nBuOH,microwave vial,False,120.0,1.986019736842105,188.4265010351967,12.0,0.7,0.5,False,Co(tapp)nXm
KE-017,Co(tapp),(OMe)2,12.6,none,o-DCB,nBuOH,microwave vial,False,120.0,2.0618792971734146,168.59948128936645,14.0,0.7,0.5,False,Co(tapp)nXm
KE-019,Co(tapp),(OMe)2,12.6,none,o-DCB,nBuOH,microwave vial,False,120.0,2.992142857142857,109.7452852709477,14.0,0.7,0.5,False,Co(tapp)nXm
KE-021,Co(tapp),(OMe)2,12.6,none,o-DCB,nBuOH,microwave vial,False,120.0,3.0,114.04765432098766,14.0,0.7,0.5,False,Co(tapp)nXm
KE-022,Co(tapp),(OMe)2,12.6,none,o-DCB,"1,4-dioxane",microwave vial,False,120.0,3.0,114.04761904761905,14.0,0.7,0.5,False,Co(tapp)nXm
KE-033,Co(ttpp),(OMe)2,12.6,none,o-DCB,nBuOH,microwave vial,False,120.0,2.977611940298507,107.09348370927319,14.0,0.7,0.5,False,Co(tapp)nXm
KE-034,Co(ttpp),(OMe)2,12.6,none,o-DCB,DMAc,Schlenk bomb,True,120.0,2.9999999999999996,106.8152882205514,14.0,0.7,0.5,False,COF-366-Co
KE-036,Co(ttpp),(OMe)2,12.6,none,o-DCB,DMAc,Schlenk bomb,True,120.0,2.0,320.0,14.0,1.4,0.5,False,Co(tapp)
